Bravanese,English
Aada,Tradition
Aada,Custom
Aafa,effect
Aajizi,Lazy
Aakhiba,Reserve
Aansi,Disobey
Aarani,Prosperous
Aari,Avenge
Abukaato,Solicitor
Achaari,Chutney
Adaana,Muslim call to prayer
Adabdara,rude
Adabu,Discipline/good manner
Aduwi,Enemy
Afisha,forgive
Afiya,Health
Aftahi,Holiday
Agaarshow,Yellow fever
Agoomo,Orphan
Ahdi,Promise
Ahmaqi,Stupid
Ahsanta,Thank you
Ajabu,Wonderful
Ajala,Fate
Ajiri,Reward
Ajli/khisaa,Sake
Ajnabi,Foreigner
Ajuuza,Aged woman
Akhdari,Green
Akhera,Hereafter
Akhili,Clever
Akhiyaari,Gentle person
Akhlaakhi,manner
Alaama,Mark
Albeergo,Hotel
Albiitro,Referee
Alfu,Thousand
Alhamu,solder
Almaasi,Diamond
Amaana,Safekeeping
Amaani,Peace
Ambaare,eczema
Ambari,Amber
Ambissa,stick
Ambo,Either/or
Ambulla,remove
Amiiri,Prince
Aminifu,Faithfulness
Amri,Command
Anabu,Grapes
Ananaasi,Pineapple
Andika,write
Anika,Put out to dry
Ansalaata,Lettuce
Anshuuru,Duty
Anuuna,Guanabana
Anza,To begin
Apa,Here
Aqiida,Faith
Aqili,Wise
Araamila,Widow
Arabiya,Wednesday
Aranjiri,Shepherd
Arbuuni,Deposit
Arfu,Odor
Ariishi,Cottage
Arkhamiisi,Thursday
Askari,Soldier
Asli,Origin/genuine
Atari,perfume
Athaabu,punishment
Aw guuriyo,Congratulation
Awali,The begining/First
Ayaamu,Week
Azima/passa,Borrow/Lend
Baaburi,car
Baakoora,Walking stick
Baaldi,Bucket
Baaldoosi,Bulldozer
Baaliqi,Become mature
Baamiya,Okra plant
Baari,Obedient
Baaruudi,Gunpowder
Baashaali,Enjoy
Baaskiili,Bicycle
Baastoola,Pistol
Badiikhi,Cucumber
Badiila,Shovel
Badila,Change
Badiqi ya Kurabi,Melon
Badiroone,Boss
Bafta,White calico
Bageela,Certificate
Bajiya,Falafel
Bakayle,Rabbit
Bakhiili,Stingy
Bakhsha,Envelope
Bakhti,Carrion
Bakhtiyanasiibu,Lottery
Balani,Appointment
Bandeera,Flag
Bangi,Bank
Bangiili,Bangle
Baniikolo,Film Negative
Banziina,Petrol
Baqshiisha,Reward/Bonus
Baraamburi,Sparks
Barafu,Ice
Barafuumo,Perfume
Barasi,Psoriasis
Barata,learn
Barbaroone,Pepper
Bardi,cold
Barmiili,Barrel
Barzuuli,Gullibility
Basbaasi,Chili
Bashiize,he lost
Basi,Sufficient
Baskuuti,Biscuits
Bataata,potatoe
Batente,Driving License
Bawaaba,Hinge
Bawaasiri,Pile(Hemorrhoid)
Bazila,Curtain
Beele,she is lost
Bei,Price
Biga,Hit
Biga picha,To photograph
Biikhi,Dastard
Biima,Risk/Danger
Bikra,Virgin
Bilaa Anshuuru,Duty-Free
Bilyeeti,Ticket
Binaadamu,Human being
Binafsi,Private
Bitiriya,Battery
Biyaanshara,Business/commerce
Bomba,Pipe
Bomba ya maayi,Tap
